date,open,close,high,low,volume,money
2010-04-21,7.84,8.21,8.47,7.57,480506521.0,3812847616.0
2010-04-22,8.13,8.21,8.59,7.92,153536704.0,1266077440.0
2010-04-23,8.09,9.03,9.03,7.98,120950590.0,1053191488.0
2010-04-26,9.32,9.12,9.49,9.03,137003526.0,1270202240.0
2010-04-27,9.24,9.08,9.41,8.54,102618668.0,924667648.0
2010-04-28,8.81,8.17,9.07,8.17,88208953.0,751310016.0
2010-04-29,8.11,8.08,8.38,7.97,106050125.0,866904448.0
2010-04-30,7.95,8.14,8.29,7.84,52422901.0,423664736.0
2010-05-04,7.32,7.68,8.13,7.32,80327372.0,610679936.0
2010-05-05,7.46,7.69,7.86,7.41,44363115.0,339439136.0
2010-05-06,7.71,7.5,7.95,7.45,55258014.0,426355648.0
2010-05-07,7.2,6.75,7.49,6.75,102218065.0,723859072.0
2010-05-10,6.82,6.49,6.88,6.31,63624111.0,414968128.0
2010-05-11,6.59,6.28,6.67,6.11,48180580.0,308480736.0
2010-05-12,6.2,6.43,6.59,6.19,35974449.0,230472496.0
2010-05-13,6.46,6.34,6.46,5.89,40932083.0,252872288.0
2010-05-14,6.22,6.44,6.48,6.0,37532148.0,235119232.0
2010-05-17,6.38,5.97,6.51,5.97,31685011.0,199592400.0
2010-05-18,5.95,6.03,6.11,5.73,31225969.0,185519232.0
2010-05-19,5.89,6.35,6.44,5.89,46091008.0,289057376.0
2010-05-20,6.27,6.14,6.43,6.12,27750594.0,175041488.0
2010-05-21,5.89,6.43,6.57,5.84,41396250.0,259455360.0
2010-05-24,6.5,6.65,6.69,6.43,49723572.0,327049344.0
2010-05-25,6.54,6.44,6.65,6.32,31717663.0,205936416.0
2010-05-26,6.38,6.22,6.49,6.14,22436090.0,140462272.0
2010-05-27,6.19,6.39,6.47,6.05,28134621.0,176973728.0
2010-05-28,6.48,6.38,6.59,6.33,26918772.0,174123744.0
2010-05-31,6.35,6.18,6.38,6.11,23227713.0,145175776.0
2010-06-01,6.15,6.25,6.36,6.06,23160431.0,143787376.0
2010-06-02,6.25,6.25,6.37,6.05,14528332.0,90004392.0
2010-06-03,6.26,6.35,6.49,6.22,21698503.0,137808048.0
2010-06-04,6.34,6.26,6.34,6.14,12695271.0,78971952.0
2010-06-07,6.14,6.39,6.43,6.08,19421107.0,122957344.0
2010-06-08,6.39,6.39,6.39,6.39,0.0,0.0
2010-06-09,6.5,6.76,7.02,6.43,36768977.0,247472208.0
2010-06-10,6.78,7.1,7.17,6.78,32530061.0,228424208.0
2010-06-11,7.16,7.11,7.41,7.1,28411723.0,204840848.0
2010-06-17,7.1,6.66,7.16,6.66,20940605.0,144813920.0
2010-06-18,6.59,6.27,6.65,6.15,22405548.0,142942832.0
2010-06-21,6.24,6.44,6.52,6.05,15891307.0,100444592.0
2010-06-22,6.43,6.39,6.59,6.34,9016237.0,58202284.0
2010-06-23,6.38,6.27,6.48,6.22,10931731.0,68945896.0
2010-06-24,6.22,6.31,6.36,6.22,6456023.0,40654820.0
2010-06-25,6.27,6.1,6.35,6.08,13732787.0,84559296.0
2010-06-28,6.05,5.83,6.13,5.78,11737839.0,69523664.0
2010-06-29,5.82,5.25,5.88,5.25,28286704.0,153148464.0
2010-06-30,5.08,5.04,5.13,4.88,26010751.0,129605848.0
2010-07-01,4.98,4.87,5.08,4.86,12867389.0,63796184.0
2010-07-02,4.89,4.61,4.93,4.45,20989757.0,97867168.0
2010-07-05,4.55,4.48,4.56,4.38,19662949.0,87547896.0
2010-07-06,4.48,4.65,4.69,4.46,20045478.0,92771864.0
2010-07-07,4.67,4.79,4.82,4.62,17374416.0,82106264.0
2010-07-08,4.8,4.64,4.81,4.56,20180208.0,94078208.0
2010-07-09,4.64,4.79,4.86,4.58,21887141.0,103615800.0
2010-07-12,4.76,4.83,4.92,4.73,25819690.0,124196064.0
2010-07-13,4.79,4.62,4.79,4.51,25552430.0,118180392.0
2010-07-14,4.66,4.53,4.71,4.51,26013545.0,119654440.0
2010-07-15,4.53,4.52,4.7,4.41,32043343.0,146646688.0
2010-07-16,4.45,4.26,4.49,4.17,37733217.0,160524336.0
2010-07-19,4.17,4.38,4.41,4.16,18558521.0,79934016.0
2010-07-20,4.36,4.53,4.57,4.35,29181313.0,131465424.0
2010-07-21,4.53,4.82,4.98,4.53,114613407.0,546092544.0
2010-07-22,4.76,4.84,4.85,4.7,42399745.0,201856976.0
2010-07-23,4.81,4.88,4.95,4.81,31201976.0,151975456.0
2010-07-26,4.89,4.85,4.92,4.78,27232187.0,131422472.0
2010-07-27,4.85,4.89,5.03,4.8,35722137.0,175605088.0
2010-07-28,4.81,4.9,4.91,4.76,46344337.0,224250048.0
2010-07-29,4.9,4.94,5.02,4.85,57488829.0,283850976.0
2010-07-30,4.95,4.86,5.0,4.82,32102116.0,157834384.0
2010-08-02,4.87,5.02,5.03,4.87,44618314.0,219810352.0
2010-08-03,5.02,4.95,5.18,4.95,60138894.0,304420672.0
2010-08-04,4.94,4.97,4.97,4.81,34686730.0,170201408.0
2010-08-05,5.03,5.31,5.46,5.03,94442244.0,498892640.0
2010-08-06,5.36,5.57,5.61,5.28,73035105.0,396866208.0
2010-08-09,5.55,5.61,5.76,5.51,47084366.0,266471408.0
2010-08-10,5.57,5.62,5.7,5.51,41213643.0,230808320.0
2010-08-11,5.62,5.83,5.96,5.55,53118235.0,307169184.0
2010-08-12,5.78,5.62,5.8,5.61,31789884.0,180733184.0
2010-08-13,5.67,5.64,5.72,5.46,30698813.0,170830656.0
2010-08-16,5.62,5.78,5.8,5.56,24674231.0,140524752.0
2010-08-17,5.79,5.71,5.82,5.63,17319732.0,98747848.0
2010-08-18,5.71,5.53,5.76,5.49,31899197.0,177515008.0
2010-08-19,5.53,5.5,5.61,5.45,23274831.0,128692832.0
2010-08-20,5.51,5.4,5.51,5.35,23708085.0,128328904.0
2010-08-23,5.35,5.36,5.44,5.34,13305305.0,71654120.0
2010-08-24,5.32,5.4,5.49,5.19,19205775.0,103140184.0
2010-08-25,5.4,5.31,5.5,5.31,17209865.0,93027064.0
2010-08-26,5.35,5.45,5.51,5.31,20350217.0,110732464.0
2010-08-27,5.46,5.68,5.69,5.41,31162831.0,174968880.0
2010-08-30,5.68,5.74,5.78,5.58,28307220.0,160761536.0
2010-08-31,5.69,5.66,5.73,5.6,18282363.0,103139432.0
2010-09-01,5.68,5.43,5.68,5.36,27372061.0,150635520.0
2010-09-02,5.43,5.43,5.43,5.43,0.0,0.0
2010-09-03,5.54,5.49,5.61,5.42,30815728.0,169722128.0
2010-09-06,5.47,5.33,5.51,5.29,29704418.0,159392480.0
2010-09-07,5.35,5.36,5.38,5.27,19504798.0,103436984.0
2010-09-08,5.35,5.34,5.39,5.27,21652070.0,115122616.0
2010-09-09,5.37,5.34,5.48,5.28,20620363.0,111093488.0
2010-09-10,5.35,5.37,5.39,5.27,17175974.0,91517384.0
2010-09-13,5.38,5.32,5.38,5.28,17121031.0,91102584.0
2010-09-14,5.35,5.17,5.36,5.15,29352062.0,153091616.0
2010-09-15,5.14,4.87,5.14,4.85,28527122.0,142156496.0
2010-09-16,4.92,5.02,5.02,4.88,36567242.0,180830080.0
2010-09-17,5.05,4.81,5.07,4.8,24811884.0,121563048.0
2010-09-20,4.77,4.76,4.83,4.66,22671179.0,106749040.0
