date,open,close,high,low,volume,money
2005-01-04,3.44,3.43,3.45,3.42,90373.0,310857.0
2005-01-05,3.43,3.48,3.5,3.43,64542.0,223390.0
2005-01-06,3.48,3.44,3.48,3.42,54028.0,185870.0
2005-01-07,3.48,3.49,3.52,3.43,77799.0,270531.0
2005-01-10,3.48,3.52,3.52,3.46,41766.0,146042.0
2005-01-11,3.52,3.52,3.54,3.49,47659.0,167402.0
2005-01-12,3.52,3.47,3.52,3.47,27985.0,97500.0
2005-01-13,3.46,3.52,3.52,3.42,65034.0,225616.0
2005-01-14,3.52,3.51,3.6,3.49,317764.0,1134525.0
2005-01-17,3.46,3.5,3.55,3.43,135366.0,471215.0
2005-01-18,3.5,3.56,3.6,3.47,154121.0,546371.0
2005-01-19,3.57,3.54,3.57,3.51,56943.0,201349.0
2005-01-20,3.47,3.47,3.49,3.45,150817.0,523362.0
2005-01-21,3.42,3.48,3.51,3.37,186933.0,640953.0
2005-01-24,3.59,3.55,3.59,3.5,139043.0,491318.0
2005-01-25,3.53,3.56,3.66,3.53,261696.0,940422.0
2005-01-26,3.33,3.46,3.52,3.33,193963.0,673315.0
2005-01-27,3.42,3.42,3.55,3.42,98925.0,341274.0
2005-01-28,3.38,3.38,3.49,3.38,82599.0,281191.0
2005-01-31,3.37,3.25,3.37,3.23,154397.0,504602.0
2005-02-01,3.24,2.97,3.25,2.94,158396.0,494211.0
2005-02-02,3.04,3.13,3.15,2.91,233618.0,709103.0
2005-02-03,3.19,3.05,3.19,3.04,179581.0,551539.0
2005-02-04,3.12,3.19,3.24,3.05,384427.0,1217930.0
2005-02-16,3.23,3.21,3.28,3.18,95621.0,308736.0
2005-02-17,3.21,3.19,3.21,3.17,56556.0,180250.0
2005-02-18,3.2,3.16,3.2,3.15,80850.0,256167.0
2005-02-21,3.2,3.2,3.21,3.17,153765.0,490832.0
2005-02-22,3.21,3.27,3.33,3.21,420329.0,1368164.0
2005-02-23,3.28,3.34,3.37,3.27,637954.0,2131700.0
2005-02-24,3.37,3.42,3.45,3.34,540555.0,1844055.0
2005-02-25,3.42,3.4,3.45,3.37,448753.0,1531852.0
2005-02-28,3.44,3.43,3.44,3.37,300766.0,1029038.0
2005-03-01,3.42,3.43,3.44,3.37,547596.0,1873216.0
2005-03-02,3.43,3.43,3.47,3.41,525332.0,1810044.0
2005-03-03,3.42,3.48,3.48,3.42,411247.0,1425440.0
2005-03-04,3.45,3.4,3.47,3.38,232250.0,799048.0
2005-03-07,3.45,3.48,3.52,3.45,302492.0,1057979.0
2005-03-08,3.5,3.53,3.53,3.48,206288.0,723907.0
2005-03-09,3.53,3.49,3.54,3.47,145486.0,509097.0
2005-03-10,3.54,3.38,3.54,3.38,132353.0,454686.0
2005-03-11,3.42,3.37,3.44,3.34,97603.0,329168.0
2005-03-14,3.3,3.33,3.4,3.29,200571.0,668329.0
2005-03-15,3.32,3.28,3.32,3.26,95038.0,312075.0
2005-03-16,3.27,3.23,3.27,3.22,39259.0,127626.0
2005-03-17,3.31,3.24,3.31,3.24,95232.0,310186.0
2005-03-18,3.22,3.29,3.29,3.2,290835.0,948815.0
2005-03-21,3.27,3.28,3.29,3.2,142821.0,467771.0
2005-03-22,3.21,3.35,3.35,3.21,424176.0,1401504.0
2005-03-23,3.34,3.33,3.37,3.27,145828.0,484420.0
2005-03-24,3.31,3.34,3.34,3.3,164810.0,546666.0
2005-03-25,3.31,3.33,3.37,3.31,49686.0,165638.0
2005-03-28,3.32,3.31,3.33,3.31,202421.0,671509.0
2005-03-29,3.31,3.4,3.53,3.31,344789.0,1179185.0
2005-03-30,3.37,3.32,3.43,3.31,298807.0,1010956.0
2005-03-31,3.34,3.42,3.43,3.03,323307.0,1045385.0
2005-04-01,3.31,3.48,3.49,3.27,368980.0,1264854.0
2005-04-04,3.45,3.46,3.65,3.45,635529.0,2224143.0
2005-04-05,3.45,3.39,3.45,3.33,100480.0,339816.0
2005-04-06,3.32,3.34,3.39,3.22,82405.0,274307.0
2005-04-07,3.34,3.45,3.52,3.34,278321.0,954723.0
2005-04-08,3.45,3.52,3.6,3.45,426951.0,1506104.0
2005-04-11,3.47,3.45,3.52,3.39,275590.0,949292.0
2005-04-12,3.55,3.42,3.57,3.39,117583.0,407700.0
2005-04-13,3.43,3.6,3.69,3.42,1084566.0,3918919.0
2005-04-14,3.58,3.6,3.63,3.49,1569404.0,5551589.0
2005-04-15,3.59,3.96,3.96,3.53,6337621.0,23586152.0
2005-04-18,3.81,3.56,3.86,3.56,3022866.0,11050442.0
2005-04-19,3.5,3.81,3.82,3.5,3561211.0,13170984.0
2005-04-20,3.79,3.6,3.79,3.54,3346486.0,12336298.0
2005-04-21,3.6,3.73,3.74,3.43,3165695.0,11504608.0
2005-04-22,3.7,3.42,3.7,3.39,2395691.0,8404578.0
2005-04-25,3.4,3.08,3.4,3.08,590051.0,1824877.0
2005-04-26,2.88,2.93,3.08,2.77,2097698.0,6020225.0
2005-04-27,2.92,2.67,2.92,2.65,1674031.0,4572398.0
2005-04-28,2.62,2.63,2.67,2.41,1402622.0,3563373.0
2005-04-29,2.61,2.64,2.75,2.58,892224.0,2377308.0
2005-05-09,2.65,2.59,2.74,2.57,498354.0,1317203.0
2005-05-10,2.59,2.58,2.67,2.51,432432.0,1109342.0
2005-05-11,2.6,2.52,2.6,2.51,437096.0,1114139.0
2005-05-12,2.68,2.58,2.68,2.56,466941.0,1219882.0
2005-05-13,2.6,2.58,2.61,2.54,488140.0,1261035.0
2005-05-16,2.53,2.61,2.7,2.53,359546.0,940599.0
2005-05-17,2.59,2.61,2.64,2.59,319630.0,835253.0
2005-05-18,2.6,2.63,2.63,2.59,303687.0,793068.0
2005-05-19,2.61,2.62,2.65,2.59,213203.0,557716.0
2005-05-20,2.6,2.64,2.68,2.47,636382.0,1677262.0
2005-05-23,2.65,2.46,2.65,2.42,367518.0,927926.0
2005-05-24,2.45,2.57,2.68,2.38,628202.0,1595083.0
2005-05-25,2.55,2.57,2.64,2.52,332628.0,854088.0
2005-05-26,2.57,2.47,2.58,2.46,438651.0,1102795.0
2005-05-27,2.58,2.55,2.62,2.52,375778.0,961877.0
2005-05-30,2.52,2.57,2.57,2.52,359814.0,919069.0
2005-05-31,2.6,2.57,2.6,2.55,226806.0,583952.0
2005-06-01,2.56,2.51,2.57,2.51,272096.0,687832.0
2005-06-02,2.51,2.44,2.51,2.42,239246.0,591796.0
2005-06-03,2.44,2.43,2.47,2.42,134958.0,328892.0
2005-06-06,2.68,2.68,2.68,2.63,3625816.0,9698500.0
2005-06-07,2.73,2.71,2.87,2.68,3939722.0,10827709.0
2005-06-08,2.62,2.88,2.95,2.62,3226542.0,9048293.0
2005-06-09,2.86,2.84,2.87,2.74,2466458.0,6939621.0
2005-06-10,2.83,2.87,2.94,2.72,2407227.0,6803076.0
2005-06-13,2.83,2.79,2.83,2.73,709367.0,1980413.0
2005-06-14,2.82,2.72,2.82,2.7,529316.0,1457820.0
2005-06-15,2.71,2.63,2.72,2.63,562841.0,1497103.0
2005-06-16,2.64,2.68,2.75,2.63,602293.0,1608623.0
2005-06-17,2.68,2.68,2.68,2.68,0.0,0.0
2005-06-20,2.68,2.68,2.68,2.68,0.0,0.0
2005-06-21,2.78,2.69,2.82,2.69,891489.0,2439297.0
2005-06-22,2.67,2.7,2.71,2.65,491514.0,1318706.0
2005-06-23,2.72,2.66,2.72,2.65,279672.0,747636.0
2005-06-24,2.65,2.66,2.67,2.62,250519.0,663296.0
2005-06-27,2.77,2.74,2.77,2.69,894822.0,2444346.0
2005-06-28,2.74,2.68,2.74,2.65,382483.0,1023757.0
2005-06-29,2.66,2.67,2.7,2.63,245075.0,650670.0
2005-06-30,2.68,2.49,2.68,2.47,623267.0,1598574.0
2005-07-01,2.47,2.38,2.5,2.32,676926.0,1647277.0
2005-07-04,2.37,2.23,2.38,2.16,583071.0,1290297.0
2005-07-05,2.21,2.19,2.22,2.15,400733.0,877982.0
2005-07-06,2.19,2.19,2.21,2.15,292304.0,636788.0
2005-07-07,2.22,2.24,2.33,2.15,363763.0,822086.0
2005-07-08,2.2,2.14,2.2,2.1,472077.0,1012581.0
2005-07-11,2.19,2.05,2.29,2.03,483876.0,1056962.0
2005-07-12,1.98,2.12,2.12,1.85,615491.0,1233825.0
2005-07-13,2.1,2.07,2.1,2.06,234776.0,486844.0
2005-07-14,2.08,2.03,2.08,2.01,226225.0,462394.0
2005-07-15,2.03,1.88,2.04,1.87,415813.0,800991.0
2005-07-18,1.9,1.75,1.92,1.72,585940.0,1072064.0
2005-07-19,1.75,1.81,1.83,1.74,488733.0,876331.0
2005-07-20,1.81,1.82,1.84,1.79,454588.0,827189.0
2005-07-21,1.83,1.79,1.83,1.75,332533.0,590661.0
2005-07-22,1.81,1.87,1.89,1.81,935253.0,1744232.0
2005-07-25,1.88,1.88,1.89,1.85,352884.0,659903.0
2005-07-26,1.89,1.97,1.98,1.88,766599.0,1484623.0
2005-07-27,1.98,2.01,2.05,1.92,905955.0,1790085.0
2005-07-28,2.01,2.01,2.04,1.96,1101136.0,2197170.0
2005-07-29,2.0,2.04,2.08,1.97,1037255.0,2105200.0
2005-08-01,2.04,2.04,2.08,2.0,558290.0,1130097.0
2005-08-02,2.0,2.07,2.07,2.0,502042.0,1023460.0
2005-08-03,2.07,2.09,2.15,2.07,1358461.0,2871196.0
2005-08-04,2.06,2.06,2.08,2.05,548316.0,1132079.0
2005-08-05,2.07,2.16,2.18,2.07,1367170.0,2930923.0
2005-08-08,2.19,2.31,2.34,2.19,2536512.0,5799401.0
2005-08-09,2.29,2.54,2.54,2.29,2422391.0,5995265.0
2005-08-10,2.62,2.79,2.79,2.62,6087588.0,16768162.0
2005-08-11,2.83,3.07,3.07,2.75,5800138.0,17106474.0
2005-08-12,3.38,3.38,3.38,3.28,2726883.0,9171778.0
2005-08-15,3.63,3.46,3.63,3.28,7051838.0,24370359.0
2005-08-16,3.41,3.81,3.81,3.38,6722702.0,24695770.0
2005-08-17,3.78,4.19,4.19,3.67,6919005.0,27894574.0
2005-08-18,4.22,4.14,4.61,4.0,6455053.0,28416157.0
2005-08-19,4.14,3.97,4.5,3.75,8162956.0,33031899.0
2005-08-22,3.8,3.97,4.14,3.59,6669285.0,25644350.0
2005-08-23,3.85,4.0,4.14,3.73,6485263.0,25628258.0
2005-08-24,3.92,4.4,4.4,3.86,7897723.0,33611477.0
2005-08-25,4.53,4.85,4.85,4.53,7749798.0,36497358.0
2005-08-26,5.22,4.69,5.33,4.65,11564347.0,57482475.0
2005-08-29,4.68,4.75,4.98,4.54,4879873.0,23161386.0
2005-08-30,4.69,4.32,4.77,4.3,5446277.0,24319889.0
2005-08-31,4.32,4.44,4.53,4.17,5656559.0,24720241.0
2005-09-01,4.37,4.33,4.51,4.27,5514749.0,24061975.0
2005-09-02,4.33,4.37,4.4,4.28,3647507.0,15846627.0
2005-09-05,4.36,4.81,4.81,4.29,7237037.0,33452379.0
2005-09-06,4.83,4.53,4.85,4.48,7026361.0,32777137.0
2005-09-07,4.53,4.51,4.59,4.34,3557210.0,15836125.0
2005-09-08,4.49,4.39,4.51,4.37,2266223.0,10007636.0
2005-09-09,4.39,4.46,4.8,4.39,4564048.0,21014957.0
2005-09-12,4.44,4.26,4.44,4.15,3461494.0,14734353.0
2005-09-13,4.26,4.35,4.37,4.26,2289588.0,9859354.0
2005-09-14,4.37,4.31,4.37,4.28,2115757.0,9119237.0
2005-09-15,4.35,4.45,4.59,4.32,4835369.0,21747494.0
2005-09-16,4.5,4.43,4.53,4.37,1942805.0,8632705.0
2005-09-19,4.39,4.43,4.48,4.23,1969636.0,8612410.0
2005-09-20,4.44,4.58,4.59,4.37,3375695.0,15113186.0
