Date,Open,Close,High,Low,Volume
2022-01-04,46.39,44.32,46.58,44.1,740090.0
2022-01-05,44.45,42.7,44.5,42.4,789849.0
2022-01-06,42.9,43.37,43.92,42.67,633393.0
2022-01-07,43.1,42.0,43.36,41.0,949327.0
2022-01-10,42.0,41.95,43.19,41.3,804449.0
2022-01-11,41.98,42.02,42.38,41.13,604697.0
2022-01-12,42.74,43.05,43.08,42.02,726896.0
2022-01-13,43.06,41.03,43.07,41.01,926523.0
2022-01-14,41.15,43.91,44.7,41.04,1601533.0
2022-01-17,43.57,42.41,43.6,42.2,949039.0
2022-01-18,42.2,42.33,42.78,41.57,497578.0
2022-01-19,42.0,41.28,42.0,41.04,577889.0
2022-01-20,41.05,39.48,41.8,39.39,843679.0
